CITY,STATE,  JAN,   FEB,   MAR,   APR,   MAY,   JUN,  JUL,   AUG,   SEP,   OCT,   NOV,   DEC
TOLEDO, OH                    ,2.05,2.07,2.48,3.19,3.58,3.57,3.23,3.15,2.78,2.6,2.86,2.68
YOUNGSTOWN, OH                ,2.55,2.15,2.94,3.36,3.79,3.88,4.31,3.24,3.75,2.77,3.18,2.99
OKLAHOMA CITY, OK             ,1.39,1.58,3.06,3.07,4.65,4.93,2.93,3.28,4.06,3.71,1.98,1.88
TULSA, OK                     ,1.78,2.28,3.53,3.96,5.81,5.2,3.37,3.41,4.62,4.11,3.17,2.49
ASTORIA, OR                   ,10.2,7.19,7.45,5.2,3.32,2.55,1.03,1.16,2.14,5.98,11.15,9.89
BURNS,OR                      ,1.19,1.02,1.09,0.93,1.23,0.76,0.4,0.36,0.44,0.78,1.17,1.55
EUGENE, OR                    ,6.87,5.43,4.99,3.33,2.74,1.5,0.54,0.61,1.29,3.25,7.72,7.83
MEDFORD, OR                   ,2.43,2.01,1.71,1.38,1.31,0.62,0.28,0.4,0.57,1.13,3.02,3.49
PENDLETON, OR                 ,1.43,1.11,1.32,1.2,1.35,0.98,0.32,0.38,0.57,1.01,1.52,1.47
PORTLAND, OR                  ,4.88,3.66,3.68,2.73,2.47,1.7,0.65,0.67,1.47,3,5.63,5.49
SALEM, OR                     ,5.96,4.56,3.99,2.81,2.22,1.55,0.46,0.45,1.28,3.03,6.5,6.86
SEXTON SUMMIT, OR             ,5.19,4,3.87,2.58,2.22,0.88,0.33,0.4,0.78,2.5,5.37,7.04
ALLENTOWN, PA                 ,3.03,2.7,3.39,3.56,4.14,4.31,4.95,3.69,4.62,3.88,3.5,3.58
ERIE, PA.                     ,2.95,2.39,2.95,3.33,3.44,3.76,3.54,3.47,4.61,4.05,3.93,3.74
HARRISBURG, PA                ,2.88,2.39,3.37,3.1,3.79,3.6,4.61,3.2,4.07,3.27,3.23,3.23
MIDDLETOWN/HARRISBURG INTL AP,PA,2.88,2.39,3.37,3.1,3.79,3.6,4.61,3.2,4.07,3.27,3.23,3.23
PHILADELPHIA, PA               ,3.03,2.65,3.79,3.56,3.71,3.43,4.35,3.5,3.78,3.18,2.99,3.56
PITTSBURGH, PA                 ,2.7,2.39,2.95,3.11,3.95,4.3,3.83,3.48,3.11,2.29,3.23,2.85
WILKES-BARRE INTL AP, PA       ,2.37,2.03,2.55,3.33,3.52,4.03,3.79,3.41,4.07,3.34,3.14,2.68
WILLIAMSPORT, PA               ,2.7,2.34,2.97,3.24,3.66,3.92,4.34,3.86,4.16,3.42,3.74,2.93
PROVIDENCE, RI                 ,3.86,3.29,5.01,4.36,3.55,3.64,3.29,3.6,3.92,3.93,4.51,4.22
CHARLESTON AP,SC               ,3.71,2.96,3.71,2.91,3.02,5.65,6.53,7.15,6.1,3.75,2.43,3.11
CHARLESTON C.O.,SC             ,2.94,2.51,3.3,2.53,2.16,4.65,5.4,6.71,5.76,3.67,2.19,2.6
COLUMBIA, SC                   ,3.58,3.61,3.73,2.62,2.97,4.69,5.46,5.26,3.54,3.17,2.74,3.22
GREENVILLE-SPARTANBURG AP, SC  ,3.82,3.97,4.52,3.36,3.76,3.8,4.8,4.48,3.43,3.44,3.7,4.11
ABERDEEN, SD                   ,0.47,0.55,1.16,1.85,3.11,3.7,3.02,2.43,2.19,1.99,0.73,0.52
HURON, SD                      ,0.5,0.6,1.46,2.31,3.11,3.93,2.92,2.43,2.46,1.79,0.87,0.52
RAPID CITY, SD                 ,0.3,0.44,0.93,1.8,3.22,2.53,1.85,1.56,1.29,1.42,0.53,0.42
SIOUX FALLS, SD                ,0.56,0.6,1.76,3.01,3.4,3.92,3.09,3.05,2.77,2.17,1.36,0.69
BRISTOL-JHNSN CTY-KNGSPRT,TN   ,3.37,3.45,3.44,3.33,3.8,3.9,4.69,3.47,2.99,2.1,3.1,3.37
